sl_no,item_code,baan_company,item_name,item_description,features,image,dimensions,ware_house,consumer_basic,ed,pkg,total,item_color,item_category,item_category_code,price_date,created_by,created_date,created_time,timestamp_value,remarks,status
551,STTDUA1S0203,240,TDU 750X690 TR WH/BO.WHT SHF,TDU 750X690 TR WH/BO.WHT SHF,,TDU_img2_1.jpg,690H X 750W X 470D,F53,13354,1369,,14723,203 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016,,1
552,STTDUA2S0203,240,TDU 750X1169 TR WH/BO.WHT SHF,TDU 750X1169 TR WH/BO.WHT SHF,,TDU_img2_2.jpg,1169H X 750W X 470D,F53,15200,1558,,16758,204 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
553,STTDUB1S0203,240,TDU 900X690 TR WH/BO.WHT SHF,TDU 900X690 TR WH/BO.WHT SHF,,TDU_img2_3.jpg,690H X 900W X 470D,F53,14831,1520,,16351,205 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016,,1
554,STTDUB1N0203,240,TDU 900X690 TR WH/BO.WHT,TDU 900X690 TR WH/BO.WHT,,TDU_img2_4.jpg,690H X 900W X 470D,F53,14338,1470,,15808,206 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
555,STTDUB2S0203,240,TDU 900X1169 TR WH/BO.WHT SHF,TDU 900X1169 TR WH/BO.WHT SHF,,TDU_img2_5.jpg,1169H X 900W X 470D,F53,17009,1743,,18752,207 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
556,STTDUB2N0203,240,TDU 900X1169 TR WH/BO.WHT,TDU 900X1169 TR WH/BO.WHT,,TDU_img2_6.jpg,1169H X 900W X 470D,F53,16074,1648,,17722,208 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
557,STTDUB3S0203,240,TDU 900X2000 TR WH/BO.WHT SHF,TDU 900X2000 TR WH/BO.WHT SHF,,TDU_img2_7.jpg,2000H X 900W X 470D,F53,24062,2466,,26528,209 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
558,STTDUB3N0203,240,TDU 900X2000 TR WH/BO.WHT,TDU 900X2000 TR WH/BO.WHT,,TDU_img2_8.jpg,2000H X 900W X 470D,F53,21809,2235,,24044,210 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
559,STTDUC1S0203,240,TDU 1200X690 TR WH/BO.WHT SHF,TDU 1200X690 TR WH/BO.WHT SHF,,TDU_img1_1.jpg,690H X 1200W X 470D,F53,17662,1810,,19472,211 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
560,STTDUC1N0203,240,TDU 1200X690 TR WH/BO.WHT,TDU 1200X690 TR WH/BO.WHT,,TDU_img1_2.jpg,690H X 1200W X 470D,F53,16738,1716,,18454,212 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
561,STTDUC2S0203,240,TDU 1200X1169 TR WH/BO.WHT SHF,TDU 1200X1169 TR WH/BO.WHT SHF,,TDU_img1_3.jpg,1169H X 1200W X 470D,F53,20000,2050,,22050,213 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
562,STTDUC2N0203,240,TDU 1200X1169 TR WH/BO.WHT,TDU 1200X1169 TR WH/BO.WHT,,TDU_img1_4.jpg,1169H X 1200W X 470D,F53,18954,1943,,20897,214 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
563,STTDUC3S0203,240,TDU 1200X2000 TR WH/BO.WHT SHF,TDU 1200X2000 TR WH/BO.WHT SHF,,TDU_img1_5.jpg,2000H X 1200W X 470D,F53,25982,2663,,28645,215 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
564,STTDUC3N0203,240,TDU 1200X2000 TR WH/BO.WHT,TDU 1200X2000 TR WH/BO.WHT,,TDU_img1_6.jpg,2000H X 1200W X 470D,F53,22277,2283,,24560,216 : Bond White Body with White Translucent  Shutters (With and Without Shelves),Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
565,STBKNWSB074,240,KD BOOK RACKS SINGLE SIDED WOOD & STEEL BOOK RACK BASE UNIT,KD BOOK RACKS SINGLE SIDED WOOD & STEEL BOOK RACK BASE UNIT,,KD_Bookrack_img1.jpg,1890Hx900Wx300D,F53,16129,1653,,17782," 074-Kitchen  Metallic Silver / White Cedar Laminate for Wooden Side Panels. For XXX - 201 : Snowbell Grey, 203 : Bond White",Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
566,STBKNWSA074,240,KD BOOK RACKS SINGLE SIDED WOOD & STEEL BOOK RACK ADD ON UNIT,KD BOOK RACKS SINGLE SIDED WOOD & STEEL BOOK RACK ADD ON UNIT,,KD_Bookrack_img2.jpg,1890Hx900Wx300D,F53,13037,1336,,14373," 074-Kitchen  Metallic Silver / White Cedar Laminate for Wooden Side Panels. For XXX - 201 : Snowbell Grey, 203 : Bond White",Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
567,STBKNWDB074,240,KD BOOK RACKS DOUBLE SIDED WOOD & STEEL BOOK RACK BASE UNIT,KD BOOK RACKS DOUBLE SIDED WOOD & STEEL BOOK RACK BASE UNIT,,KD_Bookrack_img3.jpg,1890Hx900Wx590D,F53,27852,2855,,30707," 074-Kitchen  Metallic Silver / White Cedar Laminate for Wooden Side Panels. For XXX - 201 : Snowbell Grey, 203 : Bond White",Storage,CAT103,18-07-2015,Suresh,21-03-2016,3:13 PM,21-03-2016 15:14,,1
